fertilizer_input_id,result_id,result_id_parent,fertilizer_input_uid,entity_system_id,fertilizer_type,n_ammonium,n_nitrate,n_urea,n_total,p_content,uom_p,k_content,uom_k,total_ingredients,application_rate,uom_application_rate,fertilizer_unit,application_method,manufactured_in,fa_name,country,business_name,date_created,date_synched,data_versioning,last_modified_by,last_updated,entity_id
381,1470002575932384375,1470002575931918527,GRXIBdEYlrx,L-10004-75-10-0617-2840,Compose your own NPK,0.0,0.0,0.0,0.0,17.0,p2o5,0.0,K2O,17.0,700.0,kg / ha,product,Broadcast,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-05 13:54:51,2024-10-18 07:36:04,1.0,QUYNH TRAN,2024-11-29 06:20:56,65
382,1470002575934814606,1470002575933821910,eD7tFkR06GL,L-10004-75-10-0617-3775,Compose your own NPK,0.0,16.0,0.0,16.0,7.0,p2o5,17.0,K2O,40.0,500.0,kg / ha,product,Broadcast,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-08 06:50:40,2024-10-18 12:45:22,1.0,QUYNH TRAN,2024-11-29 06:27:47,165
383,1470002575934814378,1470002575933821910,sRYtiHwdx43,L-10004-75-10-0617-3775,Compose your own NPK,0.0,16.0,0.0,16.0,16.0,p2o5,8.0,K2O,40.0,500.0,kg / ha,product,Broadcast,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-08 06:50:40,2024-10-18 12:45:23,1.0,QUYNH TRAN,2024-11-29 06:27:47,165
384,1470002575934814150,1470002575933821910,G78DxaoqrvU,L-10004-75-10-0617-3775,Compose your own NPK,0.0,16.0,0.0,16.0,16.0,p2o5,8.0,K2O,40.0,500.0,kg / ha,product,Broadcast,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-08 06:50:39,2024-10-18 12:45:22,1.0,QUYNH TRAN,2024-11-29 06:27:47,165
385,1470002575934813694,1470002575933821910,yJvSnceJgbp,L-10004-75-10-0617-3775,Compost (fully aerated production) - 1% N,,,,,,,,,,8000.0,kg / ha,product,Broadcast,,QUYNH TRAN,Vietnam,Nescafe,2024-07-08 06:50:37,2024-10-18 12:45:21,1.0,QUYNH TRAN,2024-11-29 06:27:47,165
386,1470002575939363669,1470002575939362529,CmEE0W8KfaB,L-10004-75-10-0617-4346,Compose your own NPK,0.0,16.0,0.0,16.0,8.0,p2o5,18.0,K2O,42.0,475.0,kg / ha,product,Broadcast,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-11 15:06:03,2024-10-18 09:10:23,1.0,QUYNH TRAN,2024-11-29 06:21:13,118
387,1470002575939363441,1470002575939362529,GRv3B7d2e3C,L-10004-75-10-0617-4346,Compose your own NPK,0.0,15.0,0.0,15.0,6.0,p2o5,17.0,K2O,38.0,550.0,kg / ha,product,Broadcast,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-11 15:06:02,2024-10-18 09:10:22,1.0,QUYNH TRAN,2024-11-29 06:21:13,118
388,1470002575939363213,1470002575939362529,IXvigKpKtTi,L-10004-75-10-0617-4346,Compose your own NPK,0.0,21.0,0.0,21.0,16.0,p2o5,6.0,K2O,43.0,550.0,kg / ha,product,Broadcast,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-11 15:06:02,2024-10-18 09:10:23,1.0,QUYNH TRAN,2024-11-29 06:21:13,118
389,1470002575939362985,1470002575939362529,y5hSbXrSX4V,L-10004-75-10-0617-4346,Compose your own NPK,0.0,16.0,0.0,16.0,16.0,p2o5,8.0,K2O,40.0,550.0,kg / ha,product,Broadcast,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-11 15:06:01,2024-10-18 09:10:22,1.0,QUYNH TRAN,2024-11-29 06:21:13,118
390,1470002575938252822,1470002575937585307,DSJ4slX66OY,L-10004-75-10-0617-241,Poultry layer manure - 1.9% N,,,,,,,,,,1000.0,kg / ha,product,Broadcast,,QUYNH TRAN,Vietnam,Nescafe,2024-07-10 16:22:58,2024-10-22 10:27:54,1.0,QUYNH TRAN,2024-11-29 06:35:05,211
391,1470002575938252209,1470002575937585307,wvDFRIQv40T,L-10004-75-10-0617-241,Compose your own NPK,0.0,16.0,0.0,16.0,16.0,p2o5,8.0,K2O,40.0,650.0,kg / ha,product,Broadcast,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-10 16:22:34,2024-10-22 10:27:53,1.0,QUYNH TRAN,2024-11-29 06:35:05,211
392,1470002575938251969,1470002575937585307,C0MZQLQ4kOP,L-10004-75-10-0617-241,Compose your own NPK,0.0,20.0,0.0,20.0,5.0,p2o5,5.0,K2O,30.0,400.0,kg / ha,product,Apply in solution,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-10 16:22:26,2024-10-22 10:27:52,1.0,QUYNH TRAN,2024-11-29 06:35:05,211
393,1470002575938251738,1470002575937585307,U82lY3ELDO7,L-10004-75-10-0617-241,Compose your own NPK,0.0,20.0,0.0,20.0,5.0,p2o5,5.0,K2O,30.0,400.0,kg / ha,product,Apply in solution,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-10 16:22:17,2024-10-22 10:27:52,1.0,QUYNH TRAN,2024-11-29 06:35:05,211
394,1470002575939316400,1470002575937529259,sJ7d1bTyII9,L-10004-75-10-0617-798,Compose your own NPK,0.0,18.0,0.0,18.0,8.0,p2o5,18.0,K2O,44.0,500.0,kg / ha,product,Broadcast,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-11 14:33:52,2024-07-11 14:33:52,,QUYNH TRAN,2024-11-29 06:17:23,236
395,1470002575939314773,1470002575937529259,nS2Iq3PY7ln,L-10004-75-10-0617-798,Compose your own NPK,0.0,20.0,0.0,20.0,5.0,p2o5,5.0,K2O,30.0,250.0,kg / ha,product,Apply in solution,SE Asia 2014,QUYNH TRAN,Vietnam,Nescafe,2024-07-11 14:33:50,2024-07-11 14:33:50,,QUYNH TRAN,2024-11-29 06:17:23,236
