entity_id,year_of_reporting,irrigates_coffee,knows_water_usage,wet_processing_at_farm,monitors_irrigation_usage,monitors_wet_processing_usage,water_use_irrigation_m3_per_ha,water_use_wet_processing_m3_per_kg,adequate_wastewater_treatment,has_water_bodies,distance_to_water_body,riparian_buffer_vegetation,irrigation_source,irrigation_rounds_per_year,irrigation_water_per_round_m3_per_ha
1469278379855013128,2024,True,Yes,False,Yes,Not applicable,1155.0,No wet processing,Not applicable,False,,,"Surface water (river, lake, pond, etc.)",4-Mar,385.0
1469278379855012334,2024,True,Yes,False,Yes,Not applicable,1389.0,No wet processing,Not applicable,False,,,Groundwater well,4-Mar,463.0
1469278379855013186,2024,True,Yes,False,Yes,Not applicable,1346.0,No wet processing,Not applicable,True,>10 m,Yes,"Surface water (river, lake, pond, etc.)",4-Mar,448.8
1469883818362504743,2024,True,Yes,False,Yes,Not applicable,2800.0,No wet processing,Not applicable,True,1-5 m,Yes,"Surface water (river, lake, pond, etc.)",8-Jul,400.0
1469278379854782274,2024,True,Yes,False,Yes,Not applicable,489.0,No wet processing,Not applicable,True,1-5 m,Yes,"Surface water (river, lake, pond, etc.)",2-Jan,244.0
1469278379855014872,2024,True,Yes,False,Yes,Not applicable,1050.0,No wet processing,Not applicable,False,,,Groundwater well,4-Mar,350.0
1469278379855004447,2024,True,Yes,False,Yes,Not applicable,955.0,No wet processing,Not applicable,False,,,Groundwater well,4-Mar,318.0
1469278379854781944,2024,True,Yes,False,Yes,Not applicable,660.0,No wet processing,Not applicable,True,1-5 m,Yes,"Surface water (river, lake, pond, etc.)",4-Mar,220.0
1469278379854781789,2024,True,Yes,False,Yes,Not applicable,333.0,No wet processing,Not applicable,False,,,Groundwater well,4-Mar,83.3
1469278379854781780,2024,True,No,False,Yes,Not applicable,2083.0,No wet processing,Not applicable,True,>10 m,Yes,"Surface water (river, lake, pond, etc.)",6-May,417.0
1469278379855014611,2024,True,Yes,False,Yes,Not applicable,682.0,No wet processing,Not applicable,True,1-5 m,Yes,Groundwater well,4-Mar,170.0
1469278379855014782,2024,True,Yes,False,Yes,Not applicable,1200.0,No wet processing,Not applicable,False,,,Groundwater well,4-Mar,400.0
1469278379855013420,2024,True,Yes,False,Yes,Not applicable,1485.0,No wet processing,Not applicable,False,,,"Surface water (river, lake, pond, etc.)",4-Mar,495.0
1469278379855013426,2024,True,Yes,False,Yes,Not applicable,1395.0,No wet processing,Not applicable,False,,,Groundwater well,4-Mar,349.0
1469278379855008977,2024,True,Yes,False,Yes,Not applicable,1400.0,No wet processing,Not applicable,False,,,Groundwater well,4-Mar,350.0
1469278379854782189,2024,True,Yes,False,Yes,Not applicable,1138.0,No wet processing,Not applicable,True,0 m,Yes,"Surface water (river, lake, pond, etc.)",4-Mar,379.0
1469883818362504707,2024,True,Yes,False,Yes,Not applicable,1059.0,No wet processing,Not applicable,False,,,Groundwater well,4-Mar,353.0
1469278379855004763,2024,True,Yes,False,Yes,Not applicable,1947.0,No wet processing,Not applicable,False,,,"Surface water (river, lake, pond, etc.)",4-Mar,487.0
1469278379854782176,2024,True,Yes,False,Yes,Not applicable,1500.0,No wet processing,Not applicable,False,,,"Surface water (river, lake, pond, etc.)",8-Jul,150.0
1469278379855013194,2024,True,Yes,False,Yes,Not applicable,1320.0,No wet processing,Not applicable,True,>10 m,Yes,"Surface water (river, lake, pond, etc.)",4-Mar,440.0
1469278379854783010,2024,True,Yes,False,Yes,Not applicable,600.0,No wet processing,Not applicable,True,>10 m,Yes,"Surface water (river, lake, pond, etc.)",4-Mar,200.0
1469278379855012739,2024,True,Yes,False,Yes,Not applicable,1560.0,No wet processing,Not applicable,False,,,Groundwater well,4-Mar,520.0
1469278379854783130,2024,True,Yes,False,Yes,Not applicable,440.0,No wet processing,Not applicable,True,>10 m,Yes,"Surface water (river, lake, pond, etc.)",2-Jan,220.0
1469278379855009281,2024,True,Yes,False,Yes,Not applicable,1782.4,No wet processing,Not applicable,False,,,"Surface water (river, lake, pond, etc.)",4-Mar,447.0
1469883818362505057,2024,True,Yes,False,Yes,Not applicable,2000.0,No wet processing,Not applicable,True,>10 m,Yes,"Surface water (river, lake, pond, etc.)",6-May,400.0
1469278379854782955,2024,True,Yes,False,Yes,Not applicable,391.0,No wet processing,Not applicable,True,1-5 m,Yes,"Surface water (river, lake, pond, etc.)",4-Mar,130.0
1469278379854782066,2024,True,Yes,False,Yes,Not applicable,1540.0,No wet processing,Not applicable,True,>10 m,No,"Surface water (river, lake, pond, etc.)",4-Mar,385.0
1469278379854782983,2024,True,Yes,False,Yes,Not applicable,975.0,No wet processing,Not applicable,True,>10 m,Yes,"Surface water (river, lake, pond, etc.)",4-Mar,243.0
1469278379855009775,2024,True,Yes,False,Yes,Not applicable,900.0,No wet processing,Not applicable,False,,,"Surface water (river, lake, pond, etc.)",4-Mar,300.0
1469278379854781982,2024,True,Yes,False,Yes,Not applicable,480.0,No wet processing,Not applicable,False,,,Groundwater well,4-Mar,160.0
1469883818362504785,2024,True,Yes,False,Yes,Not applicable,500.0,No wet processing,Not applicable,False,,,"Surface water (river, lake, pond, etc.)",4-Mar,167.0
1469278379854782311,2024,True,Yes,False,Yes,Not applicable,300.0,No wet processing,Not applicable,True,>10 m,Yes,"Surface water (river, lake, pond, etc.)",4-Mar,100.0
1469883818362504788,2024,True,Yes,False,Yes,Not applicable,200.0,No wet processing,Not applicable,False,,,Groundwater well,2-Jan,100.0
1469278379854782873,2024,True,Yes,False,Yes,Not applicable,1360.0,No wet processing,Not applicable,True,1-5 m,No,"Surface water (river, lake, pond, etc.)",4-Mar,453.0
1469278379855013487,2024,True,Yes,False,Yes,Not applicable,822.0,No wet processing,Not applicable,True,>10 m,Yes,Groundwater well,2-Jan,411.0
1469278379854782303,2024,True,Yes,False,No,Not applicable,154.0,No wet processing,Not applicable,True,>10 m,Yes,"Surface water (river, lake, pond, etc.)",2-Jan,153.0
1469278379854782330,2024,True,Yes,False,Yes,Not applicable,800.0,No wet processing,Not applicable,True,>10 m,Yes,"Surface water (river, lake, pond, etc.)",4-Mar,200.0
1469278379855013538,2024,True,Yes,False,Yes,Not applicable,800.0,No wet processing,Not applicable,False,,,Groundwater well,2-Jan,400.0
1469278379854677182,2024,True,Yes,False,Yes,Not applicable,400.0,No wet processing,Not applicable,True,1-5 m,No,"Surface water (river, lake, pond, etc.)",2-Jan,200.0
