plot_id,entity_id,plot_number,year_started,production,total_coffee_area,active_coffee_area,rejuvenation_area
1469278379854642173_2,1469278379854642173,2.0,2010.0,6000.0,2.0,,
1469278379854641215_1,1469278379854641215,4.0,2005.0,9000.0,2.5,0.0,0.0
1469278379854641215_2,1469278379854641215,2.0,2005.0,9000.0,2.5,0.0,0.0
1469278379854641215_3,1469278379854641215,7.0,2005.0,9000.0,2.5,0.0,0.0
1469278379854641215_4,1469278379854641215,6.0,2005.0,9000.0,2.5,0.0,0.0
1469278379854641215_5,1469278379854641215,5.0,2005.0,9000.0,2.5,0.0,0.0
1469278379854641215_6,1469278379854641215,3.0,2005.0,9000.0,2.5,0.0,0.0
1469278379854640961_1,1469278379854640961,,1998.0,12000.0,3.0,0.0,0.0
1469278379854640900_1,1469278379854640900,,2005.0,6000.0,1.7,0.0,0.0
1469278379854642890_1,1469278379854642890,,2005.0,10000.0,2.0,0.0,0.0
1469278379854640339_1,1469278379854640339,,2008.0,14000.0,3.2,0.0,0.0
1469278379854643031_1,1469278379854643031,,2001.0,4020.0,1.5,0.0,0.0
1469278379854641605_1,1469278379854641605,3.0,2000.0,14000.0,3.5,0.0,0.0
1469278379854641605_2,1469278379854641605,2.0,2000.0,14000.0,3.5,0.0,0.0
1469278379854640257_1,1469278379854640257,,2000.0,3000.0,1.0,0.0,0.0
1469278379854643043_1,1469278379854643043,,2000.0,3000.0,1.4,0.0,0.0
1469278379854641569_1,1469278379854641569,2.0,1999.0,20000.0,5.0,0.0,0.0
1469278379854642073_1,1469278379854642073,2.0,2000.0,10000.0,5.0,0.0,0.0
1469278379854642301_1,1469278379854642301,,2005.0,35000.0,8.0,,
1469278379854640613_1,1469278379854640613,,2005.0,4000.0,1.0,0.0,0.0
1469278379854642479_1,1469278379854642479,4.0,1998.0,10000.0,3.0,0.0,0.0
1469278379854642479_2,1469278379854642479,3.0,1998.0,10000.0,3.0,0.0,0.0
