entity_id,fertilizer_used,n_pct,p_pct,k_pct,unacceptable_4c,weed_management
1469278379855039486,npk 20-5-6,20.0,5.0,6.0,No,hand hoe
1469278379855040352,npk ??u trâu,20.0,5.0,5.0,No,mowing/cutting
1469278379855039407,npk 20-10-20,20.0,10.0,20.0,No,hand hoe
1469278379855040432,npk ??u trâu 20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379855038122,NPK 16-16-8,16.0,0.0,0.0,No,combination of practices
1469278379855040242,NPK 20 20 15,20.0,15.0,15.0,No,hand hoe
1469278379855039629,ure 46,46.0,0.0,0.0,No,mowing/cutting
1469883818362505224,NPK 16-16-8 TE,16.0,16.0,8.0,No,combination of practices
1469278379855040198,npk 20-5-5 mùa khô,20.0,5.0,5.0,No,hand hoe
1469278379855040099,npk 20-5-5,20.0,5.0,5.0,No,mowing/cutting
1469278379855038070,Npk 20-20-15,20.0,0.0,0.0,No,combination of practices
1469278379855038552,NPK 16-8-16,16.0,0.0,0.0,No,combination of practices
1469278379855038690,NPK 20-5-6 +13s+te,20.0,5.0,6.0,No,mowing/cutting
1469278379855037403,NPK 20-5-5 TE,20.0,5.0,5.0,No,combination of practices
1469278379855038672,npk20-10-5,20.0,10.0,5.0,No,combination of practices
1469278379855037409,ure46,46.0,0.0,0.0,No,combination of practices
1469278379855037416,npk 16 16 8,16.0,16.0,8.0,No,hand hoe
1469278379855037520,NPK 25-5-5,25.0,5.0,5.0,No,hand hoe
1469278379855037251,Ure 46,46.0,0.0,0.0,No,mowing/cutting
1469278379855040589,npk ??u trâu 20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379855036998,npk 20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379854782610,npk 17-7-17,17.0,7.0,17.0,No,mowing/cutting
1469278379855039342,NPK 17 - 7 -17,17.0,7.0,17.0,No,combination of practices
1469278379855037024,??u Trâu,20.0,10.0,5.0,No,hand hoe
1469278379855039320,,,,,,
1469278379855036851,NPK 20-5-5,20.0,5.0,5.0,No,combination of practices
1469278379855036956,NPK 20-5-6,20.0,5.0,6.0,No,mowing/cutting
1469278379855012202,,,,,,
1469278379855037391,bbnn,12.0,15.0,18.0,No,hand hoe
1469278379854640502,npk 15-15-15,15.0,15.0,15.0,No,mowing/cutting
1469278379854640527,ure 46,46.0,0.0,0.0,No,combination of practices
1469278379855013741,,,,,,
1469278379855039900,,,,,,
1469278379855040542,,,,,,
1469278379855004500,,,,,,
