plot_id,entity_id,plot_number,species,variety,year_started,polygon_area,total_coffee_area,coffee_area_active,coffee_area_rejuvenation,coffee_area_intercropping,intercropping_crops
847,1470002575945831447,1.0,,Robusta,1990.0,,4.0,4.0,0.0,0.0,
848,1470002575945822264,1.0,,Robusta,2003.0,,3.21,3.21,0.0,0.0,Cocoa (Theobroma cacao)
849,7955439997586683395,3.0,,Robusta TR4,1999.0,,1.0,0.0,0.0,0.0,Durian
850,7955439997586683395,1.0,,Robusta TR4,2000.0,,0.52,0.0,0.0,0.0,"Avocado,Durian"
851,7955439997586683395,2.0,,Robusta TR4,2001.0,,0.2,0.0,0.0,0.0,
852,7955439997586683395,4.0,,Robusta TR4,2009.0,,0.6,0.0,0.0,0.0,Avocado
853,7955439997586687366,1.0,,Robusta TR4,2015.0,,2.48,0.0,0.0,0.0,"Black Pepper,Durian,Other"
854,7955439997586687366,2.0,,Robusta TR4,1995.0,,3.27,0.0,0.0,0.0,
855,7955439997586683672,2.0,,Robusta Xanh Lùn,2000.0,,0.6,0.0,0.0,0.0,"Avocado,Durian"
856,7955439997586683672,1.0,,Robusta Xanh Lùn,2009.0,,0.84,0.0,0.0,0.0,"Avocado,Durian"
857,1470002575936436202,1.0,True,IHCAFE90,2018.0,,4.1,4.0,0.0,0.0,Timber
858,7955662907699201042,1.0,True,IHCAFE90,2007.0,,13.79,0.0,0.0,0.0,Shade trees
859,1470002575945822274,1.0,,Robusta,2003.0,,1.07,1.07,0.0,0.0,Cocoa (Theobroma cacao)
860,7955439997586685205,1.0,,Robusta TR4,1998.0,,1.5,0.0,0.0,0.0,"Betel Nut,Black Pepper,Durian,Macadamia"
861,7955439997586685202,1.0,,,,,1.2,0.0,0.0,0.0,
862,1470002575936435833,,True,,,,,,,,
863,7955439997586687395,4.0,,Robusta TR4,2015.0,,0.2,0.0,0.0,0.0,
864,7955439997586687395,1.0,,Robusta TR4,2011.0,,2.0,0.0,0.0,0.0,
865,7955439997586687395,5.0,,Robusta TR4,2016.0,,0.4,0.0,0.0,0.0,
866,7955439997586687395,3.0,,Robusta TR4,1998.0,,0.46,0.0,0.0,0.0,
867,7955439997586687395,2.0,,Robusta TR4,1999.0,,0.9,0.0,0.0,0.0,
868,7955439997586682271,1.0,,Robusta Lá Xoài,2006.0,,1.4,0.0,0.0,0.0,
869,7955439997586685070,1.0,,,,,1.9,0.0,0.0,0.0,
870,7955439997586687372,1.0,,Robusta TR4,2003.0,,2.05,0.0,0.0,0.0,"Black Pepper,Durian"
871,7955439997586685163,1.0,,ROBUSTA Local variety,1997.0,,1.2,0.0,0.0,0.0,Black Pepper
872,7955439997586685163,1.0,,ROBUSTA Local variety,1997.0,,1.2,0.0,0.0,0.0,Black Pepper
873,7955439997586683603,1.0,,Robusta Xanh Lùn,2001.0,,1.0,0.0,0.0,0.0,"Avocado,Durian"
874,7955439997586687400,1.0,,Robusta TR4,1996.0,,1.0,0.0,0.0,0.0,"Black Pepper,Durian"
875,7955439997586682403,3.0,,ROBUSTA Thi?n Tr??ng,2000.0,,1.2,0.0,0.0,0.0,"Avocado,Durian"
876,7955439997586682403,2.0,,ROBUSTA Thi?n Tr??ng,2003.0,,0.9,0.0,0.0,0.0,
877,7955439997586682403,1.0,,ROBUSTA Thi?n Tr??ng,2000.0,,0.8,0.0,0.0,0.0,"Avocado,Durian"
878,1470002575936436027,1.0,True,IHCAFE90,2006.0,,10.35,10.0,0.0,0.0,Shade trees
