entity_id,year_joined_nescafe_plan,training_sessions_male,training_sessions_female,training_sessions_youth,technical_visits,plantlets_received,plantlets_survived,condition_plantlets,renovation,expansion
7955439997586893401,,,,,,,,,,
1469883818362504470,2023.0,3,0,0,1,,,,True,
1469278379854642183,2013.0,0,2,0,1,,,,True,
1469278379854639106,,,,,,,,,,
1469278379854641818,2022.0,0,3,0,3,,,,,
1469278379854641822,2022.0,3,0,0,1,,,,,
7955439997587189175,2024.0,,,,1,,,,,
7955439997587187892,2022.0,,,,3,,,,,
1469278379854642099,2013.0,2,0,0,4 or more,0.0,90.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1469278379854642607,2012.0,2,0,0,1,,,,True,
7955439997587188619,2024.0,,,,0,,,,True,
1469278379854643075,2016.0,0,3,0,3,,,,True,
1469278379854638326,2012.0,2,0,0,1,,,,True,
7955439997587189408,2024.0,,,,3,,,,True,
7955439997587189489,2019.0,,,,1,,,,True,
7955439997587188391,2024.0,,,,1,,,,True,
1469278379854638324,2022.0,2,0,0,4 or more,,,,True,
7955439997587189422,2024.0,,,,2,,,,True,
1470002575945833969,2016.0,0,0,0,0,,,,,
7955439997587188484,2024.0,,,,0,,,,True,
1470002575936435396,2023.0,0,1,0,2,,,,,
1469592163271952272,2010.0,4 or more,0,0,0,,,,True,
1470002575956820233,2022.0,4 or more,0,0,2,200.0,90.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1470002575956820856,2020.0,3,0,0,2,,,,,
1469278379854639019,2017.0,0,2,0,2,,,,,
7955439997587187792,2023.0,,,,1,,,,True,
7955439997587189287,2024.0,,,,2,,,,True,
7955439997588499928,2016.0,3,0,0,4 or more,0.0,100.0,"Good: Plants are healthy, and phys. development is in line with their age.",,True
1470002575956820270,2016.0,1,0,0,1,200.0,90.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1470002575943383713,2016.0,0,0,0,0,0.0,90.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1470002575956820269,2016.0,4 or more,0,0,1,0.0,400.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1469278379854639028,2017.0,3,0,0,2,1000.0,99.9,"Good: Plants are healthy, and phys. development is in line with their age.",True,
1470002575956820205,2016.0,0,3,0,1,200.0,80.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,False
1470002575956820810,2012.0,0,0,0,1,,,,True,
1470002575956820982,2019.0,0,0,0,0,,,,,
1469278379854640648,,,,,,,,,,
7955439997587188607,2023.0,,,,2,,,,,
7955439997587189347,2024.0,,,,1,,,,True,
7955439997587187854,2019.0,,,,2,,,,,
7955439997587188091,2021.0,,,,3,,,,True,
7955439997587188954,2024.0,,,,0,,,,True,
1470002575936435487,2022.0,1,0,0,4 or more,,,,False,True
1470002575945833359,2020.0,0,2,0,1,,,,,
1470002575945833431,2016.0,0,0,0,0,,,,,
7955439997587188078,2020.0,,,,3,50.0,50.0,Average (some plants are poorly developed but others are healthy),True,
1469278379854641425,2021.0,3,0,0,2,,,,,
7955439997587188315,2024.0,,,,0,,,,True,
7955439997587188300,2019.0,,,,2,,,,,
1469278379854640651,2020.0,0,2,0,3,,,,True,
7955439997587189307,2024.0,,,,2,,,,True,
1469278379854640725,,,,,,,,,,
7955439997587188503,2024.0,,,,2,,,,True,
7955439997587189403,,,,,,,,,,
1469278379854641423,2021.0,0,3,0,3,,,,True,
7955439997587189216,2023.0,,,,2,,,,True,
1470002575945833159,2012.0,1,0,0,0,0.0,95.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955439997588499930,2012.0,2,0,0,0,0.0,95.0,"Good: Plants are healthy, and phys. development is in line with their age.",,True
1470002575945830604,2022.0,3,0,0,4 or more,,,,,
1470002575945830273,2023.0,3,0,0,3,,,,,
7955439997588499907,2016.0,2,0,0,0,,,,,
1470002575945833244,2014.0,2,0,0,0,,,,,
1470002575945831632,2020.0,0,0,0,0,,,,,
1470002575945832945,2023.0,4 or more,0,0,4 or more,,,,,False
7955439997588499925,2020.0,1,0,0,0,,,,,
1470002575945832928,2023.0,4 or more,0,0,3,,,,,
1470002575936435961,,,,,,,,,,
1470002575945825511,2020.0,4 or more,0,0,2,,,,,
1470002575936435935,2024.0,0,0,0,3,,,,,
1470002575945823872,2021.0,1,0,0,1,,,,,
1470002575945825341,2014.0,0,4 or more,0,4 or more,,,,,
1470002575945823889,2022.0,0,2,0,1,,,,,
1470002575945833708,2016.0,1,0,0,0,,,,,
1470002575936435249,2024.0,2,2,2,4 or more,,,,,True
1470002575945833136,2014.0,4 or more,0,0,4 or more,1500.0,80.0,"Good: Plants are healthy, and phys. development is in line with their age.",,True
1470002575945825366,2017.0,0,4 or more,0,4 or more,,,,,
1470002575945823997,2021.0,1,0,0,1,,,,,
1470002575945823969,2021.0,0,0,0,1,,,,,
1470002575945824004,2021.0,0,0,0,0,,,,,
7955439997588499906,2016.0,2,0,0,0,,,,,
1470002575945833036,2014.0,4 or more,0,0,4 or more,,,,,
1470002575936436150,2023.0,0,0,0,1,,,,,
7955439997586686982,2022.0,,,,3,,,,True,
7955439997587858581,2022.0,0,0,0,0,0.0,100.0,"Good: Plants are healthy, and phys. development is in line with their age.",,True
7955439997586685654,2024.0,,,,3,,,,True,
7955439997586686224,2024.0,,,,2,,,,,
7955439997586686034,2024.0,,,,1,,,,True,
1470002575945824835,2014.0,4 or more,0,0,0,,,,,
1470002575945831979,2013.0,4 or more,1,0,4 or more,0.0,94.83,Poor: Plants are poorly/under-developed (considering their age),,True
7955439997586683824,2012.0,,,,1,,,,True,
1470002575945824820,2013.0,4 or more,0,0,1,,,,,
1470002575945832265,2013.0,0,4 or more,0,4 or more,,,,,
7955662907699201219,2023.0,0,0,0,0,,,,,
7955439997588499917,2013.0,4 or more,0,0,4 or more,0.0,96.27,Poor: Plants are poorly/under-developed (considering their age),,True
1470002575945824728,2013.0,4 or more,0,0,1,0.0,80.0,"Good: Plants are healthy, and phys. development is in line with their age.",True,
7955439997587859399,2024.0,2,0,0,0,500.0,50.0,Average (some plants are poorly developed but others are healthy),True,
1470002575945832312,2013.0,4 or more,0,0,4 or more,,,,,
7955439997587859266,2024.0,0,3,0,1,400.0,98.0,"Good: Plants are healthy, and phys. development is in line with their age.",False,
